signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,17,0.960152276837771,0.006950646078159049,0.9456469771651926,0.9721398170010614
random_matched_count,17,0.9338583476160777,0.009427230443191778,0.9149735644536267,0.9516854815812362
retrospective,17,0.9596471097072843,0.006859359208151454,0.9466078059200764,0.9718163830615892
standard_grid,17,0.9185709048375021,0.015119232919462168,0.8882768656033376,0.9446632913370165
standard_grid_matched_count,17,0.9218690773335829,0.014138725251467896,0.8930524591940115,0.9471131621874671
