signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.7888304701073858,0.0050697301250928395,0.7800894056218817,0.798881400302613
random_matched_count,512,0.9138335164438551,0.0021075422004994925,0.9095935966492421,0.9181110416703323
retrospective,512,0.9009305833098975,0.002836005911912077,0.8953153344326624,0.9063178654301975
standard_grid,512,0.917837319925722,0.0021197798174490603,0.9134551457678571,0.9218214801877913
standard_grid_matched_count,512,0.9173149401433447,0.0021593479229833237,0.9129739689309939,0.9214911481290091
