signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.5865583450158358,0.009159228990453346,0.5698109552514941,0.6044782115862533
random_matched_count,512,0.7568298854296629,0.005257138381189007,0.746832329511215,0.7671590278914462
retrospective,512,0.7718777144831261,0.005403433796553386,0.7608236939853126,0.7820644460752446
standard_grid,512,0.6453351490473815,0.007939772577657753,0.6302495895747279,0.6604852986361809
standard_grid_matched_count,512,0.6411604494722576,0.007898173536992894,0.6259831717705749,0.6567601593694875
