signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.8314430203832321,0.004067784780144715,0.8231602140954186,0.8387087048804749
random_matched_count,512,0.9154728408548924,0.001854146128992523,0.9119048308084645,0.9190303766150804
retrospective,512,0.9252502695716832,0.0017362011382526911,0.9218527313299975,0.9284547650653194
standard_grid,512,0.8820869041340129,0.002659607946656324,0.8767685245597983,0.8868789416256703
standard_grid_matched_count,512,0.8829307415345309,0.0025950373124041253,0.878058396927948,0.8880861016303006
