pair_id,batch,crossing_step,future_horizon,angle_sep_deg,future_position_sep_cm,signal,n_units,correlation
0,0,20,8,92.81216430664062,43.454708099365234,predictive,67,0.8355350969164683
0,0,20,8,92.81216430664062,43.454708099365234,standard_grid,88,0.8735349249311503
0,0,20,8,92.81216430664062,43.454708099365234,retrospective,41,0.9029429183519209
0,0,20,8,92.81216430664062,43.454708099365234,band,0,nan
0,0,20,8,92.81216430664062,43.454708099365234,standard_grid_matched_count,67,0.82084582125832
0,0,20,8,92.81216430664062,43.454708099365234,random_matched_count,67,0.8066465935179131
1,0,20,8,40.67227554321289,20.85162925720215,predictive,67,0.9335645646470581
1,0,20,8,40.67227554321289,20.85162925720215,standard_grid,88,0.9748930140385251
1,0,20,8,40.67227554321289,20.85162925720215,retrospective,41,0.960742310422358
1,0,20,8,40.67227554321289,20.85162925720215,band,0,nan
1,0,20,8,40.67227554321289,20.85162925720215,standard_grid_matched_count,67,0.9694688581203408
1,0,20,8,40.67227554321289,20.85162925720215,random_matched_count,67,0.9550010613754981
2,0,20,8,147.8331298828125,57.65156173706055,predictive,67,0.4880638402982218
2,0,20,8,147.8331298828125,57.65156173706055,standard_grid,88,0.7243042330863776
2,0,20,8,147.8331298828125,57.65156173706055,retrospective,41,0.3316793167417072
2,0,20,8,147.8331298828125,57.65156173706055,band,0,nan
2,0,20,8,147.8331298828125,57.65156173706055,standard_grid_matched_count,67,0.6749700241631549
2,0,20,8,147.8331298828125,57.65156173706055,random_matched_count,67,0.5980562570652571
3,0,20,8,98.56747436523438,45.47695541381836,predictive,67,0.7776937156515802
3,0,20,8,98.56747436523438,45.47695541381836,standard_grid,88,0.9668376421093868
3,0,20,8,98.56747436523438,45.47695541381836,retrospective,41,0.7501230878227083
3,0,20,8,98.56747436523438,45.47695541381836,band,0,nan
3,0,20,8,98.56747436523438,45.47695541381836,standard_grid_matched_count,67,0.9629692817109252
3,0,20,8,98.56747436523438,45.47695541381836,random_matched_count,67,0.8493602071433843
4,0,20,8,30.769065856933594,15.91775131225586,predictive,67,0.9394969366519275
4,0,20,8,30.769065856933594,15.91775131225586,standard_grid,88,0.9866259060530863
4,0,20,8,30.769065856933594,15.91775131225586,retrospective,41,0.9252851293094561
4,0,20,8,30.769065856933594,15.91775131225586,band,0,nan
4,0,20,8,30.769065856933594,15.91775131225586,standard_grid_matched_count,67,0.9868633355395579
4,0,20,8,30.769065856933594,15.91775131225586,random_matched_count,67,0.9595589461580101
5,0,20,8,122.71790313720703,52.658390045166016,predictive,67,0.708173446244985
5,0,20,8,122.71790313720703,52.658390045166016,standard_grid,88,0.7845963864760147
5,0,20,8,122.71790313720703,52.658390045166016,retrospective,41,0.5808468252933148
5,0,20,8,122.71790313720703,52.658390045166016,band,0,nan
5,0,20,8,122.71790313720703,52.658390045166016,standard_grid_matched_count,67,0.7237919595472302
5,0,20,8,122.71790313720703,52.658390045166016,random_matched_count,67,0.6694414542803548
6,0,20,8,147.3918914794922,57.58712387084961,predictive,67,0.7829264926061537
6,0,20,8,147.3918914794922,57.58712387084961,standard_grid,88,0.6821533445935118
6,0,20,8,147.3918914794922,57.58712387084961,retrospective,41,0.6107860855847235
6,0,20,8,147.3918914794922,57.58712387084961,band,0,nan
6,0,20,8,147.3918914794922,57.58712387084961,standard_grid_matched_count,67,0.5508160706870374
6,0,20,8,147.3918914794922,57.58712387084961,random_matched_count,67,0.5889213306362431
7,0,20,8,100.7844009399414,46.225589752197266,predictive,67,0.8877555070365807
7,0,20,8,100.7844009399414,46.225589752197266,standard_grid,88,0.9012152107127941
7,0,20,8,100.7844009399414,46.225589752197266,retrospective,41,0.8768813902531225
7,0,20,8,100.7844009399414,46.225589752197266,band,0,nan
7,0,20,8,100.7844009399414,46.225589752197266,standard_grid_matched_count,67,0.8627660341443102
7,0,20,8,100.7844009399414,46.225589752197266,random_matched_count,67,0.838459972535837
8,0,20,8,68.3617935180664,33.708457946777344,predictive,67,0.7120468794418885
8,0,20,8,68.3617935180664,33.708457946777344,standard_grid,88,0.7866387286700179
8,0,20,8,68.3617935180664,33.708457946777344,retrospective,41,0.765138592506886
8,0,20,8,68.3617935180664,33.708457946777344,band,0,nan
8,0,20,8,68.3617935180664,33.708457946777344,standard_grid_matched_count,67,0.6885922764711132
8,0,20,8,68.3617935180664,33.708457946777344,random_matched_count,67,0.799568662851928
9,0,20,8,52.50092697143555,26.537757873535156,predictive,67,0.9221997633574961
9,0,20,8,52.50092697143555,26.537757873535156,standard_grid,88,0.9695769125464878
9,0,20,8,52.50092697143555,26.537757873535156,retrospective,41,0.8939374860782487
9,0,20,8,52.50092697143555,26.537757873535156,band,0,nan
9,0,20,8,52.50092697143555,26.537757873535156,standard_grid_matched_count,67,0.9613623803855609
9,0,20,8,52.50092697143555,26.537757873535156,random_matched_count,67,0.9149056595887742
10,0,20,8,110.70319366455078,49.35938262939453,predictive,67,0.8099277579699369
10,0,20,8,110.70319366455078,49.35938262939453,standard_grid,88,0.9315050001076812
10,0,20,8,110.70319366455078,49.35938262939453,retrospective,41,0.7857457302825633
10,0,20,8,110.70319366455078,49.35938262939453,band,0,nan
10,0,20,8,110.70319366455078,49.35938262939453,standard_grid_matched_count,67,0.9191904359425042
10,0,20,8,110.70319366455078,49.35938262939453,random_matched_count,67,0.8064167950803023
11,0,20,8,53.41288757324219,26.965167999267578,predictive,67,0.8752570265124027
11,0,20,8,53.41288757324219,26.965167999267578,standard_grid,88,0.9425964787474193
11,0,20,8,53.41288757324219,26.965167999267578,retrospective,41,0.7383690462141427
11,0,20,8,53.41288757324219,26.965167999267578,band,0,nan
11,0,20,8,53.41288757324219,26.965167999267578,standard_grid_matched_count,67,0.9428902878284748
11,0,20,8,53.41288757324219,26.965167999267578,random_matched_count,67,0.8157629922943312
12,0,20,8,99.32254791259766,45.73386764526367,predictive,67,0.803834335276165
12,0,20,8,99.32254791259766,45.73386764526367,standard_grid,88,0.847235183010638
12,0,20,8,99.32254791259766,45.73386764526367,retrospective,41,0.59008059225622
12,0,20,8,99.32254791259766,45.73386764526367,band,0,nan
12,0,20,8,99.32254791259766,45.73386764526367,standard_grid_matched_count,67,0.7989622294133281
12,0,20,8,99.32254791259766,45.73386764526367,random_matched_count,67,0.7710706234297585
13,0,20,8,102.2686996459961,46.7171745300293,predictive,67,0.625369711307548
13,0,20,8,102.2686996459961,46.7171745300293,standard_grid,88,0.7820560279982445
13,0,20,8,102.2686996459961,46.7171745300293,retrospective,41,0.5388853630903808
13,0,20,8,102.2686996459961,46.7171745300293,band,0,nan
13,0,20,8,102.2686996459961,46.7171745300293,standard_grid_matched_count,67,0.7017073945840605
13,0,20,8,102.2686996459961,46.7171745300293,random_matched_count,67,0.5993201241899183
14,0,20,8,145.4907684326172,57.29977035522461,predictive,67,0.8406788728347901
14,0,20,8,145.4907684326172,57.29977035522461,standard_grid,88,0.8193696039516261
14,0,20,8,145.4907684326172,57.29977035522461,retrospective,41,0.5467118265394434
14,0,20,8,145.4907684326172,57.29977035522461,band,0,nan
