signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.7645082646324775,0.005799648820399002,0.7533573609485564,0.7755486069835822
random_matched_count,512,0.8068358158463733,0.004485550397825882,0.7983113334285272,0.8152164498960596
retrospective,512,0.7536676312763292,0.006529198983992858,0.7406486752161907,0.7657463237800083
standard_grid,512,0.8832512683439641,0.002918732125726231,0.8773600819419456,0.8886611086707062
standard_grid_matched_count,512,0.8145229938476398,0.004902224688346096,0.8042869895971015,0.8234718179830733
