pair_id,batch,pairing_mode,trajectory_source,crossing_step,timestep,bin_x,bin_y,position_distance_cm,movement_vector_distance,movement_angle_sep_deg,signal,n_units,correlation
0,0,same_bin,random_walk,16,16,10,36,4.201145648956299,0.0158427394926548,41.271698184740416,predictive,93,0.9077379357534797
0,0,same_bin,random_walk,16,16,10,36,4.201145648956299,0.0158427394926548,41.271698184740416,standard_grid,102,0.9417469926096621
0,0,same_bin,random_walk,16,16,10,36,4.201145648956299,0.0158427394926548,41.271698184740416,retrospective,84,0.9547672504140625
0,0,same_bin,random_walk,16,16,10,36,4.201145648956299,0.0158427394926548,41.271698184740416,band,0,nan
0,0,same_bin,random_walk,16,16,10,36,4.201145648956299,0.0158427394926548,41.271698184740416,standard_grid_matched_count,93,0.9380714532419705
0,0,same_bin,random_walk,16,16,10,36,4.201145648956299,0.0158427394926548,41.271698184740416,random_matched_count,93,0.9513583310359129
1,0,same_bin,random_walk,16,16,16,33,4.70443868637085,0.02055419608950615,25.3605719104291,predictive,93,0.9361210235818899
1,0,same_bin,random_walk,16,16,16,33,4.70443868637085,0.02055419608950615,25.3605719104291,standard_grid,102,0.9419976821402714
1,0,same_bin,random_walk,16,16,16,33,4.70443868637085,0.02055419608950615,25.3605719104291,retrospective,84,0.9247801281799503
1,0,same_bin,random_walk,16,16,16,33,4.70443868637085,0.02055419608950615,25.3605719104291,band,0,nan
1,0,same_bin,random_walk,16,16,16,33,4.70443868637085,0.02055419608950615,25.3605719104291,standard_grid_matched_count,93,0.9488909331943296
1,0,same_bin,random_walk,16,16,16,33,4.70443868637085,0.02055419608950615,25.3605719104291,random_matched_count,93,0.943101814566272
2,1,same_bin,random_walk,16,16,29,37,1.126722812652588,0.08397524803876877,158.83775381146114,predictive,93,0.5864423909092541
2,1,same_bin,random_walk,16,16,29,37,1.126722812652588,0.08397524803876877,158.83775381146114,standard_grid,102,0.5503221621568611
2,1,same_bin,random_walk,16,16,29,37,1.126722812652588,0.08397524803876877,158.83775381146114,retrospective,84,0.7761389354566472
2,1,same_bin,random_walk,16,16,29,37,1.126722812652588,0.08397524803876877,158.83775381146114,band,0,nan
2,1,same_bin,random_walk,16,16,29,37,1.126722812652588,0.08397524803876877,158.83775381146114,standard_grid_matched_count,93,0.5444479430759608
2,1,same_bin,random_walk,16,16,29,37,1.126722812652588,0.08397524803876877,158.83775381146114,random_matched_count,93,0.773641247662065
3,2,same_bin,random_walk,16,16,9,24,1.6711186170578003,0.03626278042793274,179.85530113502952,predictive,93,0.8859153701241694
3,2,same_bin,random_walk,16,16,9,24,1.6711186170578003,0.03626278042793274,179.85530113502952,standard_grid,102,0.90443710581896
3,2,same_bin,random_walk,16,16,9,24,1.6711186170578003,0.03626278042793274,179.85530113502952,retrospective,84,0.908744648754396
3,2,same_bin,random_walk,16,16,9,24,1.6711186170578003,0.03626278042793274,179.85530113502952,band,0,nan
3,2,same_bin,random_walk,16,16,9,24,1.6711186170578003,0.03626278042793274,179.85530113502952,standard_grid_matched_count,93,0.9087123698768821
3,2,same_bin,random_walk,16,16,9,24,1.6711186170578003,0.03626278042793274,179.85530113502952,random_matched_count,93,0.8929965681424944
4,3,same_bin,random_walk,16,16,7,35,1.4199340343475342,0.03918716683983803,125.32368189536611,predictive,93,0.8600909500800454
4,3,same_bin,random_walk,16,16,7,35,1.4199340343475342,0.03918716683983803,125.32368189536611,standard_grid,102,0.9351811962727125
4,3,same_bin,random_walk,16,16,7,35,1.4199340343475342,0.03918716683983803,125.32368189536611,retrospective,84,0.9435802409584304
4,3,same_bin,random_walk,16,16,7,35,1.4199340343475342,0.03918716683983803,125.32368189536611,band,0,nan
4,3,same_bin,random_walk,16,16,7,35,1.4199340343475342,0.03918716683983803,125.32368189536611,standard_grid_matched_count,93,0.9250848532974227
4,3,same_bin,random_walk,16,16,7,35,1.4199340343475342,0.03918716683983803,125.32368189536611,random_matched_count,93,0.914859898352376
5,3,same_bin,random_walk,16,16,11,28,5.651785373687744,0.031276825815439224,137.96850884289694,predictive,93,0.8500231852885406
5,3,same_bin,random_walk,16,16,11,28,5.651785373687744,0.031276825815439224,137.96850884289694,standard_grid,102,0.8551862145798371
