signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.7769838622080141,0.004835370721426396,0.7678299482861903,0.7858308555412583
random_matched_count,512,0.8804098310328249,0.0027576419850675713,0.8749681414795166,0.8855956969133112
retrospective,512,0.8328224544218445,0.004398386158477218,0.8239166714971282,0.8421184322822952
standard_grid,512,0.8985022353840615,0.002198192261840857,0.8943370652810909,0.9025766443050696
standard_grid_matched_count,512,0.8980425853221723,0.0022222328187240996,0.8938610452235627,0.9024263040810719
