signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.7723357260468866,0.005372809129957838,0.7629456049448233,0.7825808602107566
random_matched_count,512,0.8478580737220444,0.0033243961310475204,0.8410612639945276,0.8544017984887623
retrospective,512,0.770828732092723,0.0058907136149598475,0.7594831592186327,0.7815110447409084
standard_grid,512,0.8746256494490086,0.002799999350456438,0.8691192447162404,0.8799484358762106
standard_grid_matched_count,512,0.879662277776058,0.0026917780073108,0.8742355722748049,0.8849090594338899
