signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.8616638648155939,0.0035327008661528423,0.8549880240355453,0.8683298302906618
random_matched_count,512,0.9023094956121256,0.002274545979937018,0.8979932687149925,0.9064651271997971
retrospective,512,0.8683884188419801,0.003845375656592841,0.8611274437278322,0.8756976851613198
standard_grid,512,0.9411424074847308,0.0014249653390717106,0.9384260981755173,0.9438118333041039
standard_grid_matched_count,512,0.9035498885833185,0.002409456915646492,0.8988514410729403,0.9079660220758698
