signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.8116718000951971,0.00585731390347403,0.8003548402977969,0.8234630897097606
random_matched_count,512,0.7939284094516563,0.004704514968781839,0.7851367363033144,0.8032994520137037
retrospective,512,0.7963331926160927,0.0050012211900554975,0.7871451224803122,0.8058952427289974
standard_grid,512,0.8735112454705297,0.0031387269959387808,0.8673239229485735,0.8792014738044881
standard_grid_matched_count,512,0.8774543198863548,0.0030990466511747624,0.8713532812534388,0.8837099686448611
