signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.5662254614899002,0.01014571554279118,0.5454640390469767,0.586705365751138
random_matched_count,512,0.7400735590309027,0.005477501978967039,0.7293017155409081,0.7508384242798801
retrospective,512,0.823204061458765,0.004468235936562038,0.814109613190112,0.8319491911418525
standard_grid,512,0.659873263146239,0.007484543762758371,0.6453580261648224,0.6749594870829263
standard_grid_matched_count,512,0.6742031633975438,0.007561305121525976,0.6594113182810724,0.6896199198083357
