signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.5267276787849914,0.010116094111212327,0.5077722471244366,0.5470854662698774
random_matched_count,512,0.7289819672898412,0.005590991183078694,0.7180905273755313,0.7402279948701393
retrospective,512,0.791478282036078,0.00500808709908375,0.7810561195959164,0.801061141691505
standard_grid,512,0.6237707180221705,0.00911962478824248,0.6058873770318861,0.6408840720521332
standard_grid_matched_count,512,0.6262139331299252,0.009079885886585842,0.6092154141970456,0.6445576254634096
