signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.8232567816187737,0.004238728476419872,0.8157230486778613,0.8317163752428127
random_matched_count,512,0.9322401944896126,0.0016188521097038576,0.9289920825429847,0.9354363647610481
retrospective,512,0.9226196489685264,0.0021684863107883905,0.9182130868124647,0.926785102142317
standard_grid,512,0.9366683174892535,0.0016005369527834863,0.9335697063346483,0.9396853577694396
standard_grid_matched_count,512,0.9364667583492563,0.0016260745361768901,0.9331157705268109,0.9396780885776459
