signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.5298179314952514,0.01050197293772337,0.5101341830919288,0.5511083459904234
random_matched_count,512,0.7003939452738857,0.006502005425856403,0.6870680941364582,0.7134647697519018
retrospective,512,0.6718741564548159,0.0074961677008643784,0.6571634138416735,0.6875181845803802
standard_grid,512,0.727365804700131,0.006514950084062135,0.7139584581003765,0.7408290030093717
standard_grid_matched_count,512,0.7527113062094548,0.0060022539116342186,0.7411350901657461,0.7644272243168729
