signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.5966812891265542,0.008546966681766112,0.5814187385233567,0.6135750022037395
random_matched_count,512,0.7218670370510409,0.00557296708647518,0.7108833934727319,0.7331931799021377
retrospective,512,0.5874166029006903,0.009365953144823741,0.5695605888813842,0.6044853467979443
standard_grid,512,0.7686780379365991,0.00478320650210881,0.7591519089105614,0.7775651134722884
standard_grid_matched_count,512,0.7782722621608881,0.004581013155536697,0.7690147033221655,0.7871859500209613
