signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.874005305228261,0.0037546323354662307,0.8664230763499625,0.8816880420753492
random_matched_count,512,0.8829426694560348,0.0028247385576162303,0.877496454424687,0.888389520319785
retrospective,512,0.8819326010200335,0.0031650976836172045,0.875593140716989,0.8876575755550575
standard_grid,512,0.8718162347432712,0.00424344940241399,0.8633496479877414,0.8798761493885561
standard_grid_matched_count,512,0.8646807453798913,0.004467383908681281,0.8557731692585364,0.8735109042540707
