pair_id,batch,crossing_step,future_horizon,angle_sep_deg,future_position_sep_cm,signal,n_units,correlation
0,0,8,8,92.81216430664062,37.78669738769531,predictive,82,0.7317978639506084
0,0,8,8,92.81216430664062,37.78669738769531,standard_grid,100,0.8962217686132669
0,0,8,8,92.81216430664062,37.78669738769531,retrospective,96,0.9633275466151927
0,0,8,8,92.81216430664062,37.78669738769531,band,0,nan
0,0,8,8,92.81216430664062,37.78669738769531,standard_grid_matched_count,82,0.9180880701001415
0,0,8,8,92.81216430664062,37.78669738769531,random_matched_count,82,0.9027799896420055
1,0,8,8,40.67227554321289,18.13184928894043,predictive,82,0.9132831363033178
1,0,8,8,40.67227554321289,18.13184928894043,standard_grid,100,0.9705911583799403
1,0,8,8,40.67227554321289,18.13184928894043,retrospective,96,0.9874823460883162
1,0,8,8,40.67227554321289,18.13184928894043,band,0,nan
1,0,8,8,40.67227554321289,18.13184928894043,standard_grid_matched_count,82,0.9729389185342705
1,0,8,8,40.67227554321289,18.13184928894043,random_matched_count,82,0.9798220798639574
2,0,8,8,147.8331298828125,50.13178634643555,predictive,82,0.7403227028434677
2,0,8,8,147.8331298828125,50.13178634643555,standard_grid,100,0.8063188892735633
2,0,8,8,147.8331298828125,50.13178634643555,retrospective,96,0.8867834842643357
2,0,8,8,147.8331298828125,50.13178634643555,band,0,nan
2,0,8,8,147.8331298828125,50.13178634643555,standard_grid_matched_count,82,0.8636409021457218
2,0,8,8,147.8331298828125,50.13178634643555,random_matched_count,82,0.8047345777074806
3,0,8,8,98.56747436523438,39.54517364501953,predictive,82,0.8150632341478353
3,0,8,8,98.56747436523438,39.54517364501953,standard_grid,100,0.9087672879776062
3,0,8,8,98.56747436523438,39.54517364501953,retrospective,96,0.9748371926781298
3,0,8,8,98.56747436523438,39.54517364501953,band,0,nan
3,0,8,8,98.56747436523438,39.54517364501953,standard_grid_matched_count,82,0.9171034853251626
3,0,8,8,98.56747436523438,39.54517364501953,random_matched_count,82,0.9255599375121605
4,0,8,8,30.769065856933594,13.841525077819824,predictive,82,0.9624745283241593
4,0,8,8,30.769065856933594,13.841525077819824,standard_grid,100,0.9797015517913669
4,0,8,8,30.769065856933594,13.841525077819824,retrospective,96,0.9936909392155324
4,0,8,8,30.769065856933594,13.841525077819824,band,0,nan
4,0,8,8,30.769065856933594,13.841525077819824,standard_grid_matched_count,82,0.9798977072615195
4,0,8,8,30.769065856933594,13.841525077819824,random_matched_count,82,0.9818462554349299
5,0,8,8,122.71790313720703,45.78990173339844,predictive,82,0.45914096476199945
5,0,8,8,122.71790313720703,45.78990173339844,standard_grid,100,0.8309661284428914
5,0,8,8,122.71790313720703,45.78990173339844,retrospective,96,0.8829763944127658
5,0,8,8,122.71790313720703,45.78990173339844,band,0,nan
5,0,8,8,122.71790313720703,45.78990173339844,standard_grid_matched_count,82,0.8502597319244012
5,0,8,8,122.71790313720703,45.78990173339844,random_matched_count,82,0.8522974039407524
6,0,8,8,147.3918914794922,50.07575607299805,predictive,82,0.3342348633145873
6,0,8,8,147.3918914794922,50.07575607299805,standard_grid,100,0.7271828181418089
6,0,8,8,147.3918914794922,50.07575607299805,retrospective,96,0.8923870103214727
6,0,8,8,147.3918914794922,50.07575607299805,band,0,nan
6,0,8,8,147.3918914794922,50.07575607299805,standard_grid_matched_count,82,0.7777378704183853
6,0,8,8,147.3918914794922,50.07575607299805,random_matched_count,82,0.8154117029438664
7,0,8,8,100.7844009399414,40.196163177490234,predictive,82,0.6683764257650965
7,0,8,8,100.7844009399414,40.196163177490234,standard_grid,100,0.8431208869664142
7,0,8,8,100.7844009399414,40.196163177490234,retrospective,96,0.9374605556577126
7,0,8,8,100.7844009399414,40.196163177490234,band,0,nan
7,0,8,8,100.7844009399414,40.196163177490234,standard_grid_matched_count,82,0.8556456410851208
7,0,8,8,100.7844009399414,40.196163177490234,random_matched_count,82,0.8946275541547749
8,0,8,8,68.3617935180664,29.31169891357422,predictive,82,0.8744285859990789
8,0,8,8,68.3617935180664,29.31169891357422,standard_grid,100,0.9115782762661943
8,0,8,8,68.3617935180664,29.31169891357422,retrospective,96,0.9698295198212755
8,0,8,8,68.3617935180664,29.31169891357422,band,0,nan
8,0,8,8,68.3617935180664,29.31169891357422,standard_grid_matched_count,82,0.9398948858537047
8,0,8,8,68.3617935180664,29.31169891357422,random_matched_count,82,0.9340716085849708
9,0,8,8,52.50092697143555,23.076311111450195,predictive,82,0.8893058376862126
9,0,8,8,52.50092697143555,23.076311111450195,standard_grid,100,0.9727311882626404
9,0,8,8,52.50092697143555,23.076311111450195,retrospective,96,0.9764142841801783
9,0,8,8,52.50092697143555,23.076311111450195,band,0,nan
9,0,8,8,52.50092697143555,23.076311111450195,standard_grid_matched_count,82,0.970996636799812
9,0,8,8,52.50092697143555,23.076311111450195,random_matched_count,82,0.966050985340788
10,0,8,8,110.70319366455078,42.92120361328125,predictive,82,0.7343959031254649
10,0,8,8,110.70319366455078,42.92120361328125,standard_grid,100,0.8879077706980613
10,0,8,8,110.70319366455078,42.92120361328125,retrospective,96,0.9365149696909363
10,0,8,8,110.70319366455078,42.92120361328125,band,0,nan
10,0,8,8,110.70319366455078,42.92120361328125,standard_grid_matched_count,82,0.9026084982650442
10,0,8,8,110.70319366455078,42.92120361328125,random_matched_count,82,0.8837407583165418
11,0,8,8,53.41288757324219,23.44797134399414,predictive,82,0.9406553255487046
11,0,8,8,53.41288757324219,23.44797134399414,standard_grid,100,0.9370641960082793
11,0,8,8,53.41288757324219,23.44797134399414,retrospective,96,0.9772944924620528
11,0,8,8,53.41288757324219,23.44797134399414,band,0,nan
11,0,8,8,53.41288757324219,23.44797134399414,standard_grid_matched_count,82,0.942697200249152
11,0,8,8,53.41288757324219,23.44797134399414,random_matched_count,82,0.9452965854805427
12,0,8,8,99.32254791259766,39.76857376098633,predictive,82,0.7817726270898876
12,0,8,8,99.32254791259766,39.76857376098633,standard_grid,100,0.8996726913371946
12,0,8,8,99.32254791259766,39.76857376098633,retrospective,96,0.9261494518505817
12,0,8,8,99.32254791259766,39.76857376098633,band,0,nan
12,0,8,8,99.32254791259766,39.76857376098633,standard_grid_matched_count,82,0.9025003108814756
12,0,8,8,99.32254791259766,39.76857376098633,random_matched_count,82,0.9100256930262909
13,0,8,8,102.2686996459961,40.62363052368164,predictive,82,0.7840228637649007
13,0,8,8,102.2686996459961,40.62363052368164,standard_grid,100,0.8595745513455392
13,0,8,8,102.2686996459961,40.62363052368164,retrospective,96,0.8878503165291484
13,0,8,8,102.2686996459961,40.62363052368164,band,0,nan
13,0,8,8,102.2686996459961,40.62363052368164,standard_grid_matched_count,82,0.893590964417054
13,0,8,8,102.2686996459961,40.62363052368164,random_matched_count,82,0.8582282501370152
14,0,8,8,145.4907684326172,49.82587814331055,predictive,82,0.756835815354163
14,0,8,8,145.4907684326172,49.82587814331055,standard_grid,100,0.8268961725377248
14,0,8,8,145.4907684326172,49.82587814331055,retrospective,96,0.9457108794025781
14,0,8,8,145.4907684326172,49.82587814331055,band,0,nan
14,0,8,8,145.4907684326172,49.82587814331055,standard_grid_matched_count,82,0.8307410497645624
14,0,8,8,145.4907684326172,49.82587814331055,random_matched_count,82,0.8860140885095248
15,0,8,8,38.67183303833008,17.27509307861328,predictive,82,0.9647878610240727
15,0,8,8,38.67183303833008,17.27509307861328,standard_grid,100,0.9672286976627464
15,0,8,8,38.67183303833008,17.27509307861328,retrospective,96,0.9883841603740301
15,0,8,8,38.67183303833008,17.27509307861328,band,0,nan
15,0,8,8,38.67183303833008,17.27509307861328,standard_grid_matched_count,82,0.9706155035637676
15,0,8,8,38.67183303833008,17.27509307861328,random_matched_count,82,0.9761098302436253
