crossing_step,n_pairs,mean_standard_minus_predictive_corr,ci95_low,ci95_high,fraction_standard_gt_predictive,mean_standard_grid_corr,mean_predictive_corr,mean_band_corr,step_output_dir
8,512,0.08162476691378409,0.07368504157390196,0.0896326630545284,0.859375,0.8732462229276493,0.7916214560138652,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_008
10,512,0.09548053101635834,0.08633166797023624,0.1044782454407232,0.84375,0.8457841028678893,0.750303571851531,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_010
12,512,0.10987922512894371,0.09922267002047307,0.12017790868472965,0.84375,0.7987577838547648,0.688878558725821,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_012
14,512,0.11056779628144897,0.09844244714058922,0.12233944222806792,0.7890625,0.7035686936123702,0.5930008973309212,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_014
15,512,0.09704303923717911,0.08300358372029716,0.1099903359331729,0.75,0.6237707180221705,0.5267276787849914,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_015
16,512,0.08792603669187515,0.07393318041306052,0.10110133835307478,0.7109375,0.5992848972345896,0.5113588605427144,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_016
18,512,0.0976431804277508,0.0857163150208401,0.10920597592044154,0.783203125,0.7052469188500843,0.6076037384223335,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_018
20,512,0.09826425707731372,0.0879140232420148,0.10839328893709785,0.826171875,0.781135302538264,0.6828710454609502,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_020
22,512,0.09177858311431561,0.08264861514657974,0.10051763645973712,0.83984375,0.8330587083186759,0.7412801252043604,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 7/spatial_shift/matched_direction_step_sweep/crossing_step_022
