signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.5113588605427144,0.010348118105621685,0.49197031460691476,0.5317453630206521
random_matched_count,512,0.7114961592282607,0.005885140977506515,0.7001040966104067,0.7230585751473393
retrospective,512,0.7778714467708525,0.005318737337324625,0.7665498868872912,0.7878991316135209
standard_grid,512,0.5992848972345896,0.009615509575993183,0.5812059108669131,0.6179591218009027
standard_grid_matched_count,512,0.6019024222665164,0.009581899597872718,0.5844123945877349,0.620599898877609
