signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.6987590377072416,0.008391900762455919,0.6823362669520208,0.7160183321089597
random_matched_count,512,0.846856623273378,0.0036162422878133474,0.8401174027863015,0.8539044318062163
retrospective,512,0.8026031876054002,0.006649340807371986,0.7900841035801598,0.8155569165980633
standard_grid,512,0.8983196936124337,0.0032145716256256956,0.891602838445237,0.904711294813587
standard_grid_matched_count,512,0.9163481291212106,0.002685845178021489,0.9111917471658464,0.9218348587762919
