signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.817132227571863,0.004616302503200061,0.808241270052763,0.8262803157535441
random_matched_count,512,0.8812118721131631,0.0026822779793178224,0.8761406652993994,0.8863251868465093
retrospective,512,0.8931000632129988,0.002648068218947459,0.8876512736685683,0.8984747079095093
standard_grid,512,0.836289413282268,0.0038258655977915688,0.8289562928394812,0.843722246038922
standard_grid_matched_count,512,0.8322061252496287,0.003907218786503724,0.8246445941627055,0.8395918298434464
