crossing_step,n_pairs,mean_standard_minus_predictive_corr,ci95_low,ci95_high,fraction_standard_gt_predictive,mean_standard_grid_corr,mean_predictive_corr,mean_band_corr,step_output_dir
8,512,0.024372813594521543,0.01879110736906795,0.030583392826584795,0.591796875,0.9298193425219902,0.9054465289274687,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_008
10,512,0.041696302242782785,0.034305395951937774,0.049797081381176445,0.65234375,0.9119942013071844,0.8702978990644015,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_010
12,512,0.061839445375332494,0.05211660255969916,0.07264827890812516,0.67578125,0.8735112454705297,0.8116718000951971,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_012
14,512,0.09063013176446415,0.07676675291956539,0.10532409714699152,0.701171875,0.7885959070123862,0.697965775247922,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_014
15,512,0.11087127942020004,0.0936936079150262,0.12835141394798988,0.7109375,0.7110950193778065,0.6002237399576063,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_015
16,512,0.11977861742435662,0.1016915455072162,0.13816401987974244,0.708984375,0.6815614889859976,0.561782871561641,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_016
18,512,0.10143756442525675,0.08605368539065629,0.11765969475870301,0.6953125,0.7606626764560609,0.6592251120308041,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_018
20,512,0.0841838804629657,0.07144895434807898,0.09817487487082323,0.697265625,0.8157534782051874,0.7315695977422216,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_020
22,512,0.0685137403725048,0.05779139890814844,0.08051448077040546,0.681640625,0.852092519712937,0.7835787793404323,nan,/home/ec2-user/predictive-grid-cell-analysis/analysis_outputs/Single agent path integration/Seed 8/spatial_shift/matched_direction_step_sweep/crossing_step_022
