bin,movement_distance_low,movement_distance_high,movement_distance_mid,n_pairs,median_standard_grid_corr,q25_standard_grid_corr,q75_standard_grid_corr,median_predictive_corr,q25_predictive_corr,q75_predictive_corr,median_standard_minus_predictive_corr
0,0.0158427394926548,0.01643650308251381,0.016139621287584303,1,0.9498391213714621,0.9498391213714621,0.9498391213714621,0.8857008996895037,0.8857008996895037,0.8857008996895037,0.06413822168195837
1,0.01643650308251381,0.01698295585811138,0.016709729470312594,1,0.9894522085061296,0.9894522085061296,0.9894522085061296,0.9767146944697058,0.9767146944697058,0.9767146944697058,0.012737514036423758
2,0.01698295585811138,0.01847742535173893,0.017730190604925155,1,0.9635638844408018,0.9635638844408018,0.9635638844408018,0.9461355385609413,0.9461355385609413,0.9461355385609413,0.01742834587986042
3,0.01847742535173893,0.020367733389139175,0.01942257937043905,1,0.9425682191563208,0.9425682191563208,0.9425682191563208,0.9549277623925198,0.9549277623925198,0.9549277623925198,-0.012359543236198922
5,0.02055419608950615,0.021730484813451766,0.021142340451478957,1,0.9444938139925044,0.9444938139925044,0.9444938139925044,0.9277814006905148,0.9277814006905148,0.9277814006905148,0.01671241330198958
6,0.021730484813451766,0.022678568959236145,0.022204526886343955,1,0.9673268287062282,0.9673268287062282,0.9673268287062282,0.9575357673048794,0.9575357673048794,0.9575357673048794,0.009791061401348777
7,0.022678568959236145,0.02424425855278969,0.02346141375601292,1,0.9608632960883164,0.9608632960883164,0.9608632960883164,0.9602370464658613,0.9602370464658613,0.9602370464658613,0.0006262496224551661
8,0.02424425855278969,0.026208655908703804,0.02522645723074675,1,0.9524454939435321,0.9524454939435321,0.9524454939435321,0.9569153356598165,0.9569153356598165,0.9569153356598165,-0.004469841716284395
10,0.027288155630230904,0.03047909177839756,0.028883623704314233,1,0.9329816016780316,0.9329816016780316,0.9329816016780316,0.9020907686494916,0.9020907686494916,0.9020907686494916,0.03089083302854001
11,0.03047909177839756,0.03138658180832863,0.030932836793363096,1,0.9215670295554088,0.9215670295554088,0.9215670295554088,0.9145057856782467,0.9145057856782467,0.9145057856782467,0.0070612438771621155
12,0.03138658180832863,0.03229186609387398,0.03183922395110131,1,0.9408956844552899,0.9408956844552899,0.9408956844552899,0.947525607752487,0.947525607752487,0.947525607752487,-0.006629923297197027
13,0.03229186609387398,0.033879005908966066,0.03308543600142003,1,0.8846351982520358,0.8846351982520358,0.8846351982520358,0.8874070606381631,0.8874070606381631,0.8874070606381631,-0.002771862386127255
15,0.035234883427619934,0.03605720102787018,0.03564604222774506,1,0.9138504257711416,0.9138504257711416,0.9138504257711416,0.8616192260831693,0.8616192260831693,0.8616192260831693,0.052231199687972296
16,0.03605720102787018,0.038017412275075914,0.03703730665147305,1,0.8848040036824376,0.8848040036824376,0.8848040036824376,0.8609571630960018,0.8609571630960018,0.8609571630960018,0.023846840586435825
17,0.038017412275075914,0.04144677445292473,0.039732093364000326,1,0.9356158834093109,0.9356158834093109,0.9356158834093109,0.8803299136717587,0.8803299136717587,0.8803299136717587,0.055285969737552176
18,0.04144677445292473,0.05266399830579755,0.047055386379361144,1,0.9285637997654435,0.9285637997654435,0.9285637997654435,0.9467941247874078,0.9467941247874078,0.9467941247874078,-0.01823032502196431
19,0.05266399830579755,0.08397524803876877,0.06831962317228316,1,0.7755985144270982,0.7755985144270982,0.7755985144270982,0.6618406362754948,0.6618406362754948,0.6618406362754948,0.11375787815160332
