pair_id,batch,crossing_step,future_horizon,angle_sep_deg,future_position_sep_cm,signal,n_units,correlation
0,0,22,8,92.81216430664062,39.504276275634766,predictive,751,0.6417069970688747
0,0,22,8,92.81216430664062,39.504276275634766,standard_grid,765,0.5933632050661404
0,0,22,8,92.81216430664062,39.504276275634766,retrospective,794,0.7416340232391091
0,0,22,8,92.81216430664062,39.504276275634766,band,0,nan
0,0,22,8,92.81216430664062,39.504276275634766,standard_grid_matched_count,751,0.594759207288403
0,0,22,8,92.81216430664062,39.504276275634766,random_matched_count,751,0.7333493758579513
1,0,22,8,40.67227554321289,18.956026077270508,predictive,751,0.9488677738231187
1,0,22,8,40.67227554321289,18.956026077270508,standard_grid,765,0.9328276948623111
1,0,22,8,40.67227554321289,18.956026077270508,retrospective,794,0.9541825749962366
1,0,22,8,40.67227554321289,18.956026077270508,band,0,nan
1,0,22,8,40.67227554321289,18.956026077270508,standard_grid_matched_count,751,0.9318236493318078
1,0,22,8,40.67227554321289,18.956026077270508,random_matched_count,751,0.9500238367842215
2,0,22,8,147.8331298828125,52.41050720214844,predictive,751,0.6528873223165399
2,0,22,8,147.8331298828125,52.41050720214844,standard_grid,765,0.7555176175358328
2,0,22,8,147.8331298828125,52.41050720214844,retrospective,794,0.6557476651431564
2,0,22,8,147.8331298828125,52.41050720214844,band,0,nan
2,0,22,8,147.8331298828125,52.41050720214844,standard_grid_matched_count,751,0.7561566268239018
2,0,22,8,147.8331298828125,52.41050720214844,random_matched_count,751,0.7319796686734568
3,0,22,8,98.56747436523438,41.34268569946289,predictive,751,0.7827297930517362
3,0,22,8,98.56747436523438,41.34268569946289,standard_grid,765,0.7518369593013092
3,0,22,8,98.56747436523438,41.34268569946289,retrospective,794,0.7532121362701794
3,0,22,8,98.56747436523438,41.34268569946289,band,0,nan
3,0,22,8,98.56747436523438,41.34268569946289,standard_grid_matched_count,751,0.7496781282472392
3,0,22,8,98.56747436523438,41.34268569946289,random_matched_count,751,0.775356503343057
4,0,22,8,30.769065856933594,14.470684051513672,predictive,751,0.9613715986058974
4,0,22,8,30.769065856933594,14.470684051513672,standard_grid,765,0.9664593139601724
4,0,22,8,30.769065856933594,14.470684051513672,retrospective,794,0.9686383605789074
4,0,22,8,30.769065856933594,14.470684051513672,band,0,nan
4,0,22,8,30.769065856933594,14.470684051513672,standard_grid_matched_count,751,0.9669912646980426
4,0,22,8,30.769065856933594,14.470684051513672,random_matched_count,751,0.9733620086333408
5,0,22,8,122.71790313720703,47.87126159667969,predictive,751,0.3744723989424402
5,0,22,8,122.71790313720703,47.87126159667969,standard_grid,765,0.63750932397396
5,0,22,8,122.71790313720703,47.87126159667969,retrospective,794,0.48467018399033557
5,0,22,8,122.71790313720703,47.87126159667969,band,0,nan
5,0,22,8,122.71790313720703,47.87126159667969,standard_grid_matched_count,751,0.6347858873165049
5,0,22,8,122.71790313720703,47.87126159667969,random_matched_count,751,0.6157363111901244
6,0,22,8,147.3918914794922,52.3519401550293,predictive,751,0.4959312545921266
6,0,22,8,147.3918914794922,52.3519401550293,standard_grid,765,0.678474115549784
6,0,22,8,147.3918914794922,52.3519401550293,retrospective,794,0.6810181602115354
6,0,22,8,147.3918914794922,52.3519401550293,band,0,nan
6,0,22,8,147.3918914794922,52.3519401550293,standard_grid_matched_count,751,0.6803247556598983
6,0,22,8,147.3918914794922,52.3519401550293,random_matched_count,751,0.7301105426627419
7,0,22,8,100.7844009399414,42.02326583862305,predictive,751,0.6863528158281006
7,0,22,8,100.7844009399414,42.02326583862305,standard_grid,765,0.668579814370794
7,0,22,8,100.7844009399414,42.02326583862305,retrospective,794,0.8054416897891218
7,0,22,8,100.7844009399414,42.02326583862305,band,0,nan
7,0,22,8,100.7844009399414,42.02326583862305,standard_grid_matched_count,751,0.6685283901354548
7,0,22,8,100.7844009399414,42.02326583862305,random_matched_count,751,0.7934201403877773
8,0,22,8,68.3617935180664,30.644052505493164,predictive,751,0.8540782493828416
8,0,22,8,68.3617935180664,30.644052505493164,standard_grid,765,0.8238180043108301
8,0,22,8,68.3617935180664,30.644052505493164,retrospective,794,0.8867451301342704
8,0,22,8,68.3617935180664,30.644052505493164,band,0,nan
8,0,22,8,68.3617935180664,30.644052505493164,standard_grid_matched_count,751,0.8239722467837713
8,0,22,8,68.3617935180664,30.644052505493164,random_matched_count,751,0.8871050581973735
9,0,22,8,52.50092697143555,24.125232696533203,predictive,751,0.9395836624897443
9,0,22,8,52.50092697143555,24.125232696533203,standard_grid,765,0.9464767530123795
9,0,22,8,52.50092697143555,24.125232696533203,retrospective,794,0.9532588672057727
9,0,22,8,52.50092697143555,24.125232696533203,band,0,nan
9,0,22,8,52.50092697143555,24.125232696533203,standard_grid_matched_count,751,0.9465408177163875
9,0,22,8,52.50092697143555,24.125232696533203,random_matched_count,751,0.9578801302495471
10,0,22,8,110.70319366455078,44.872169494628906,predictive,751,0.6471880961021775
10,0,22,8,110.70319366455078,44.872169494628906,standard_grid,765,0.6682661637557026
10,0,22,8,110.70319366455078,44.872169494628906,retrospective,794,0.7538067273123918
10,0,22,8,110.70319366455078,44.872169494628906,band,0,nan
10,0,22,8,110.70319366455078,44.872169494628906,standard_grid_matched_count,751,0.670289516438051
10,0,22,8,110.70319366455078,44.872169494628906,random_matched_count,751,0.7494431569916731
11,0,22,8,53.41288757324219,24.513792037963867,predictive,751,0.7507979349630438
11,0,22,8,53.41288757324219,24.513792037963867,standard_grid,765,0.813861458215821
11,0,22,8,53.41288757324219,24.513792037963867,retrospective,794,0.7948173592896745
11,0,22,8,53.41288757324219,24.513792037963867,band,0,nan
11,0,22,8,53.41288757324219,24.513792037963867,standard_grid_matched_count,751,0.8140236765023504
11,0,22,8,53.41288757324219,24.513792037963867,random_matched_count,751,0.8160204020766247
12,0,22,8,99.32254791259766,41.57624053955078,predictive,751,0.5282477542928355
12,0,22,8,99.32254791259766,41.57624053955078,standard_grid,765,0.7204244423648205
12,0,22,8,99.32254791259766,41.57624053955078,retrospective,794,0.6224898253960445
12,0,22,8,99.32254791259766,41.57624053955078,band,0,nan
12,0,22,8,99.32254791259766,41.57624053955078,standard_grid_matched_count,751,0.7221306684683237
12,0,22,8,99.32254791259766,41.57624053955078,random_matched_count,751,0.7031784633803091
13,0,22,8,102.2686996459961,42.47015380859375,predictive,751,0.49754775081183633
13,0,22,8,102.2686996459961,42.47015380859375,standard_grid,765,0.7187823897270064
13,0,22,8,102.2686996459961,42.47015380859375,retrospective,794,0.6589663854886035
13,0,22,8,102.2686996459961,42.47015380859375,band,0,nan
13,0,22,8,102.2686996459961,42.47015380859375,standard_grid_matched_count,751,0.723832401765216
13,0,22,8,102.2686996459961,42.47015380859375,random_matched_count,751,0.7330111563130379
14,0,22,8,145.4907684326172,52.0906982421875,predictive,751,0.6579825933680971
14,0,22,8,145.4907684326172,52.0906982421875,standard_grid,765,0.6736110088317562
14,0,22,8,145.4907684326172,52.0906982421875,retrospective,794,0.7790003353406343
14,0,22,8,145.4907684326172,52.0906982421875,band,0,nan
14,0,22,8,145.4907684326172,52.0906982421875,standard_grid_matched_count,751,0.67458518163689
14,0,22,8,145.4907684326172,52.0906982421875,random_matched_count,751,0.7850509032749498
15,0,22,8,38.67183303833008,18.060325622558594,predictive,751,0.9598187767783328
15,0,22,8,38.67183303833008,18.060325622558594,standard_grid,765,0.9229380904266173
15,0,22,8,38.67183303833008,18.060325622558594,retrospective,794,0.9497834803228238
15,0,22,8,38.67183303833008,18.060325622558594,band,0,nan
15,0,22,8,38.67183303833008,18.060325622558594,standard_grid_matched_count,751,0.9225753595575672
15,0,22,8,38.67183303833008,18.060325622558594,random_matched_count,751,0.9468653196409056
