signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.6977519599804132,0.0068540223473568355,0.6854912268965653,0.7108776507149911
random_matched_count,512,0.794433635467801,0.004353225987803941,0.7857732181261621,0.8029761303556531
retrospective,512,0.6923784339249526,0.007527047559043302,0.6780157249015509,0.7063775901435801
standard_grid,512,0.829992138358374,0.0036922364465386943,0.8226532024399829,0.8370364227761486
standard_grid_matched_count,512,0.8369512980914562,0.0035414234182421732,0.8298123240727027,0.8438162235903748
