signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.6076037384223335,0.00884616779586979,0.5913724729947558,0.6249551345790632
random_matched_count,512,0.7950440652998831,0.004437998079834069,0.7862528854272253,0.8037161848209592
retrospective,512,0.8400947783670274,0.004106839034934178,0.8315882922302265,0.8478747614623164
standard_grid,512,0.7052469188500843,0.0076506166828966046,0.6904744713878394,0.7196749475576709
standard_grid_matched_count,512,0.7076049441154387,0.007608450054133204,0.6933662631567609,0.7225284497629659
