signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,512,0.8298323816126459,0.004860515849887442,0.8199654519291256,0.839664588704812
random_matched_count,512,0.8416290751436328,0.0037309441809764967,0.8343564759873922,0.8488606134946732
retrospective,512,0.847017962879031,0.004026647725148302,0.8388438336499099,0.8543019072722925
standard_grid,512,0.8214779881180125,0.005564766705894523,0.8107517184209632,0.8321703500135983
standard_grid_matched_count,512,0.8147708587910127,0.005780042565529778,0.8027413680800015,0.8258307912361348
