signal,n_pairs,mean_correlation,sem_correlation,ci95_low,ci95_high
band,0,nan,nan,nan,nan
predictive,17,0.8978108381257965,0.01601549699071081,0.8640900161025796,0.9237968976923396
random_matched_count,17,0.9287684810147582,0.009705252468242838,0.9093409273833665,0.9470924888994624
retrospective,17,0.9405485650664032,0.009163147886352054,0.9235680882304458,0.9567366394140508
standard_grid,17,0.9186130558278419,0.015852019392827082,0.8866448142546999,0.946417084873461
standard_grid_matched_count,17,0.9166255943031285,0.01626864293973571,0.8839017373663609,0.9461524784671742
