bin,movement_distance_low,movement_distance_high,movement_distance_mid,n_pairs,median_standard_grid_corr,q25_standard_grid_corr,q75_standard_grid_corr,median_predictive_corr,q25_predictive_corr,q75_predictive_corr,median_standard_minus_predictive_corr
0,0.0158427394926548,0.01643650308251381,0.016139621287584303,1,0.9504496418162045,0.9504496418162045,0.9504496418162045,0.8854980672342406,0.8854980672342406,0.8854980672342406,0.06495157458196388
1,0.01643650308251381,0.01698295585811138,0.016709729470312594,1,0.9794070189673901,0.9794070189673901,0.9794070189673901,0.9777475826153423,0.9777475826153423,0.9777475826153423,0.001659436352047794
2,0.01698295585811138,0.01847742535173893,0.017730190604925155,1,0.9382060783103571,0.9382060783103571,0.9382060783103571,0.9745741952058349,0.9745741952058349,0.9745741952058349,-0.03636811689547781
3,0.01847742535173893,0.020367733389139175,0.01942257937043905,1,0.8047913227317588,0.8047913227317588,0.8047913227317588,0.929785211415066,0.929785211415066,0.929785211415066,-0.12499388868330719
5,0.02055419608950615,0.021730484813451766,0.021142340451478957,1,0.9255443840560464,0.9255443840560464,0.9255443840560464,0.9073841637707579,0.9073841637707579,0.9073841637707579,0.01816022028528852
6,0.021730484813451766,0.022678568959236145,0.022204526886343955,1,0.9454823968019783,0.9454823968019783,0.9454823968019783,0.9536108378464069,0.9536108378464069,0.9536108378464069,-0.008128441044428558
7,0.022678568959236145,0.02424425855278969,0.02346141375601292,1,0.9677872589287606,0.9677872589287606,0.9677872589287606,0.887651422587371,0.887651422587371,0.887651422587371,0.08013583634138965
8,0.02424425855278969,0.026208655908703804,0.02522645723074675,1,0.9541129631446196,0.9541129631446196,0.9541129631446196,0.9248634618649526,0.9248634618649526,0.9248634618649526,0.029249501279666967
10,0.027288155630230904,0.03047909177839756,0.028883623704314233,1,0.9333380920760828,0.9333380920760828,0.9333380920760828,0.8539244908407649,0.8539244908407649,0.8539244908407649,0.07941360123531782
11,0.03047909177839756,0.03138658180832863,0.030932836793363096,1,0.884043541803355,0.884043541803355,0.884043541803355,0.8751373481741352,0.8751373481741352,0.8751373481741352,0.008906193629219739
12,0.03138658180832863,0.03229186609387398,0.03183922395110131,1,0.967452461665079,0.967452461665079,0.967452461665079,0.9313614911586605,0.9313614911586605,0.9313614911586605,0.03609097050641852
13,0.03229186609387398,0.033879005908966066,0.03308543600142003,1,0.7768263105274423,0.7768263105274423,0.7768263105274423,0.8894848637666409,0.8894848637666409,0.8894848637666409,-0.1126585532391986
15,0.035234883427619934,0.03605720102787018,0.03564604222774506,1,0.9700369974864511,0.9700369974864511,0.9700369974864511,0.9257983673199498,0.9257983673199498,0.9257983673199498,0.044238630166501314
16,0.03605720102787018,0.038017412275075914,0.03703730665147305,1,0.9632403939891169,0.9632403939891169,0.9632403939891169,0.8759567456854209,0.8759567456854209,0.8759567456854209,0.08728364830369595
17,0.038017412275075914,0.04144677445292473,0.039732093364000326,1,0.8901804404875382,0.8901804404875382,0.8901804404875382,0.8885839345988734,0.8885839345988734,0.8885839345988734,0.0015965058886647787
18,0.04144677445292473,0.05266399830579755,0.047055386379361144,1,0.9662390452180003,0.9662390452180003,0.9662390452180003,0.9010475645467032,0.9010475645467032,0.9010475645467032,0.0651914806712971
19,0.05266399830579755,0.08397524803876877,0.06831962317228316,1,0.7992836010631327,0.7992836010631327,0.7992836010631327,0.6803744995074199,0.6803744995074199,0.6803744995074199,0.11890910155571277
